agent_id,question_id,mode,profile_label,act_ref,sen_int,vis_ver,seq_glo,scs,rr,cr5,cr10,er,engagement,latency_ms,token_count,tutor_cost
P10_RefSenVisGlo_I02_int,MH_106,R1,Reflective-Sensing-Visual-Global,1,-1,-1,1,0.611,3,0.3333,0.3333,0.0,4,15266,4332,0.0029327999999999997
P04_ActSenVerGlo_I05_gen,MH_086,R1,Active-Sensing-Verbal-Global,-1,-1,1,1,0.4875,4,0.0,0.3333,1.0,4,13852,4342,0.0029368
P06_ActIntVisGlo_I03_adv,MH_085,R1,Active-Intuitive-Visual-Global,-1,1,-1,1,0.6505,2,0.0,0.0,0.0,4,25059,4271,0.0029084
P08_ActIntVerGlo_I04_gen,MH_068,R1,Active-Intuitive-Verbal-Global,-1,1,1,1,0.5678,5,0.0,0.3333,1.0,4,30425,5560,0.003424
P01_ActSenVisSeq_I02_int,MH_088,R1,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.5534,3,0.0,0.0,0.0,4,17406,4536,0.0030143999999999995
P16_RefIntVerGlo_I01_beg,MH_078,R1,Reflective-Intuitive-Verbal-Global,1,1,1,1,0.4491,4,0.0,0.0,0.0,4,14884,4780,0.0031119999999999997
P09_RefSenVisSeq_I05_gen,MH_091,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.6265,5,0.0,0.0,0.0,4,18029,3727,0.0026907999999999997
P10_RefSenVisGlo_I05_gen,MH_081,R1,Reflective-Sensing-Visual-Global,1,-1,-1,1,0.499,5,0.3333,0.3333,0.0,4,18640,5963,0.0035851999999999998
P05_ActIntVisSeq_I04_gen,MH_074,R1,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.5658,3,0.0,0.0,0.0,4,12291,4839,0.0031355999999999997
P08_ActIntVerGlo_I01_beg,MH_046,R1,Active-Intuitive-Verbal-Global,-1,1,1,1,0.4264,5,0.0,0.0,0.0,4,12560,5064,0.0032255999999999995
P03_ActSenVerSeq_I03_adv,MH_101,R1,Active-Sensing-Verbal-Sequential,-1,-1,1,-1,0.453,4,0.0,0.6667,1.0,4,15365,4159,0.0028636
P15_RefIntVerSeq_I04_gen,MH_101,R1,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.5631,3,0.0,0.6667,1.0,4,21775,4160,0.002864
P09_RefSenVisSeq_I02_int,MH_107,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.6121,4,0.3333,0.3333,1.0,4,15465,3651,0.0026604
P09_RefSenVisSeq_I02_int,MH_028,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.5286,3,0.0,0.0,0.0,5,16694,4751,0.0031003999999999997
